label,teamlabel,bpLabel,height,number
"Harry Taylor (footballer, born 1997)",Chelsea F.C.,England,1.8796,16
Darren O'Dea,Reading F.C.,Dublin,1.8542,6
Hideo Ōshima,Yokohama Flügels,Japan,1.84,15
João Pedro Guerra Cunha,U.D. Oliveirense,Portugal,1.75,17
Diego Antonio Reyes,Mexico national under-23 football team,Mexico City,1.89,23
Gary Harkins,Ayr United F.C.,Scotland,1.88,12
Gary Taylor-Fletcher,Tranmere Rovers F.C.,Liverpool,1.83,15
Jop van der Linden,AZ Alkmaar,Netherlands,1.88,14
Gustav Svensson,Sweden national football team,Gothenburg,1.84,7
James Stevens (soccer),Harrisburg City Islanders,Germany,2.0066,13
Jack Thomas (footballer),Notts County F.C.,England,1.74,20
Hideo Hashimoto,Gamba Osaka,Japan,1.7272,27
David Loria,FC Astana,Soviet Union,1.86,1
David Yurchenko,FC Volga Tver,Ashgabat,1.86,1
Dmitri Prudnikov,MFK Viz-Sinara Yekaterinburg,Soviet Union,1.76,14
Jamie Watson (soccer),FC Dallas,"Arlington, Texas",1.7526,13
Hal Robson-Kanu,Southend United F.C.,"Acton, London",1.8542,4
Ferhat Kiraz,Gençlerbirliği S.K.,Bozkır,1.77,19
Ismael Falcón,Celta de Vigo,Cádiz,1.81,1
Eduardo Uribe,Juan Aurich,Lima,1.8,24
Giorgi Loria,Georgia national under-21 football team,Georgia (country),1.97,17
Hiram Mier,Mexico national under-23 football team,Monterrey,1.81,21
Gary Miller (footballer),Ayr United F.C.,Glasgow,1.8542,2
Darryl Knights,Cambridge United F.C.,Ipswich,1.7018,11
Jack Thompson (soccer),Charlotte Independence,"Hudson, Ohio",1.75,28
James Forrest (footballer),Scotland national football team,Glasgow,1.75,49
Joe Quigley,Torquay United F.C.,"Hayes, Hillingdon",1.93,17
Javier Hernández,Manchester United F.C.,Guadalajara,1.75,7
Jack McInerney,Montreal Impact,"Chattanooga, Tennessee",1.778,99
Jonny Rowell,Newcastle United F.C.,Newcastle upon Tyne,1.83,17
Isco,Valencia CF,Benalmádena,1.76,22
Gorka Iraizoz,CD Basconia,Pamplona,1.91,1
Hristijan Kirovski,FC Vaslui,Skopje,1.89,9
Franco Signorelli,Spezia Calcio 1906,Venezuela,1.75,8
David McIntosh (Venezuelan footballer),Carabobo FC,Venezuela,1.78,2
Jamie Vardy,England national football team,Sheffield,1.778,9
John Stones,England national under-19 football team,Barnsley,1.88,24
Dilan Zúñiga,Colo-Colo B,Santiago,1.81,--
Jai Ingham,Hume City FC,"Lismore, New South Wales",1.78,23
Igor Stojaković,FK Javor Ivanjica,Kraljevo,1.68,10
Julián Speroni,Crystal Palace F.C.,Buenos Aires,1.86,1
Jason Taylor (English footballer),Oldham Athletic A.F.C.,Droylsden,1.8542,28
Johan Larsson (footballer),Sweden national football team,Kinna,1.81,13
Hanna Ljungberg,Mariehem SK,Umeå,1.6,10
Josip Colina,A.S. Varese 1910,Zenica,1.89,23
Gleb Maltsev,Kazakhstan national under-21 football team,Pavlodar,1.89,9
Gorka Larrea,Spain national under-16 football team,San Sebastián,1.84,33
Joe Bennett (footballer),Cardiff City F.C.,Rochdale,1.78,3
Gorka Elustondo,Spain national under-19 football team,Beasain,1.82,3
"David Robertson (footballer, born 1986)",Ayr United F.C.,"Livingston, West Lothian",1.78,15
Julio Marchant,Racing Club de Avellaneda,Argentina,1.74,TBA
Dele Alli,England national under-18 football team,Milton Keynes,1.88,20
Gary Martin (footballer),FC Újpest,Darlington,1.84,19
"Juanito (footballer, born 1985)",Hellas Verona F.C.,Argentina,1.8,21
José Alberto Hernández,Monarcas Morelia,Estado de Mexico,1.75,57
Emil Wahlström,Sweden national under-19 football team,Sweden,1.83,5
Marian Constantinescu,FC Internațional Curtea de Argeș,București,1.77,20
Marek Kuzma,1. FC Slovácko,Czechoslovakia,1.82,29
Mahdi Karim,Al-Khor Sports Club,Baghdad,1.74,18
Martin Raška,MFK Zemplín Michalovce,Czechoslovakia,1.9,1
Kamil Kuzma,Slovakia national under-21 football team,Stropkov,1.85,15
Mark Murphy (soccer),Crystal Palace Baltimore,United States,1.8542,32
Marcus Williams (footballer),Scunthorpe United F.C.,England,1.7272,20
Mika Lahtinen,Tampere United,Finland,1.88,23
Luis Miguel Hernández,C.D. Luis Ángel Firpo,"Chinameca, San Miguel",1.82,2
Manish Bhargav,Delhi Dynamos FC,India,1.68,34
Lasse Vibe,FC Vestsjælland,Aarhus,1.81,21
Manish Maithani,Hindustan F.C.,India,1.7,-
Krešimir Kordić,FK DAC 1904 Dunajská Streda,SR Bosnia and Herzegovina,1.91,9
"Lawrence Smith (footballer, born 1985)",Vaasan Palloseura,United States,1.85,3
Lorenzo De Silvestri,S.S. Lazio,Rome,1.86,29
Matteo Paro,A.C. Siena,Italy,1.79,19
Liban Abdi,S.C. Olhanense,Somalia,1.82,7
"Mika (footballer, born 1991)",S.L. Benfica B,Switzerland,1.85,12
Mario Erb,Bayern Munich Junior Team,Munich,1.86,25
Kalen Ryden,Oral Roberts Golden Eagles,"Norman, Oklahoma",1.88,21
Matthew Collins,Aberystwyth Town F.C.,Merthyr Tydfil,1.78,9
Luis Omar Hernández,Lobos de la BUAP,Guadalajara,1.86,53
Lhadji Badiane,Stade Rennais FC,Strasbourg,1.79,22
Mika Chunuonsee,Bangkok United F.C.,Bridgend,1.78,16
Leandro Romagnoli,Sporting Clube de Portugal,Buenos Aires,1.72,10
Matías Fernández,Sporting Clube de Portugal,Buenos Aires,1.78,14
Mark Little (footballer),Bristol City F.C.,Worcester,1.8542,2
Lay Raksmey,Cambodia national under-23 football team,Cambodia,1.77,19
Manuel Perez (footballer),Stade Brestois,Grenoble,1.8,23
Marco Silvestri,Italy national under-20 football team,Castelnovo ne' Monti,1.91,12
Martín Romagnoli,Racing Club de Avellaneda,Argentina,1.7,14
Matthew Bates,Hartlepool United F.C.,Stockton-on-Tees,1.778,6
Odacir Pereira da Silva,Guarani Futebol Clube,Brazil,1.76,16
Paulo Henrique Carneiro Filho,Desportivo Brasil,Brazil,1.85,TBA
Pavel Mamayev,FC Krasnodar,Russian SFSR,1.8,7
Milad Salem,SV Wehen Wiesbaden II,Afghanistan,1.77,8
Mitsuru Nagata,Japan national under-20 football team,"Shizuoka, Shizuoka",1.84,17
Salim Arrache,RC Strasbourg,Marseille,1.87,—
Orr Barouch,Bnei Yehuda Tel Aviv F.C.,Haifa,1.8796,27
Rafa Silva,C.D. Feirense,Forte da Casa,1.7,27
Pascal Bader,FC Baden,Zurich,1.87,6
Richard Foster (footballer),Ross County F.C.,Aberdeen,1.76,19
Mohamed Lamine Zemmamouche,Algeria A' national football team,Algeria,1.86,1
Nikos Kostakis,Ethnikos Asteras F.C.,Athens,1.77,1
Muriel Gustavo Becker,Associação Portuguesa de Desportos,Brazil,1.9,30
Oded Elkayam,Hapoel Ironi Kiryat Shmona,Haifa,1.77,14
Miloš Buchta,SK Hranice,Czechoslovakia,1.97,30
Nikos Milios,Greece national under-17 football team,Greece,1.78,7
Milad Gharibi,Padideh F.C.,Iran,1.8,11
Nikos Boutzikos,Apollon Smyrni F.C.,Greece,1.73,23
Salim Cissé,S.C. Olhanense,Guinea,1.85,92
Milad Meydavoudi,Aluminium Hormozgan F.C.,Iran,1.78,10
Rian Marques,Pallo-Iirot,Brazil,1.8,5
Ryan De Vries,Bentleigh Greens SC,Cape Town,1.82,10
Pablo Herrera Barrantes,L.D. Alajuelense,Costa Rica,1.67,9
Saskia Bartusiak,Germany women's national football team,Frankfurt,1.7,25
Milad Nouri,Saba Qom F.C.,Iran,1.83,65
Milad Soleiman Fallah,Saba Qom F.C.,Iran,1.75,25
Ryota Nagata,Kyoto Purple Sanga,Japan,1.8,7
Milad Zeneyedpour,Erbil SC,Iran,1.78,17
Olesya Kurochkina,Russia women's national football team,Moscow,1.76,7
Milad Mohammadi,Niroo Zamini F.C.,Iran,1.78,13
Raju Gaikwad,Pailan Arrows,Maharashtra,1.8,-
Paco Alcácer,Valencia CF,"Torrent, Valencia",1.76,17
Onyekachi Okonkwo,Pepsi Football Academy,Nigeria,1.8,10
Ross Smith (soccer),Portland Timbers U23s,Ontario,1.8288,16
Rafa Soares,FC Porto B,Marco de Canaveses,1.82,55
Renée Slegers,Netherlands women's national football team,Netherlands,1.63,11
Rafał Leszczyński (footballer),Dolcan Ząbki,Poland,1.87,13
Nabil Ashoor,Oman national football team,Oman,1.82,23
Nabil Bentaleb,France national under-19 football team,Lille,1.87,10
Mikkel Wohlgemuth,HB Køge,Denmark,1.79,14
Sean Reynolds (soccer),West Florida Argonauts,"Fort Walton Beach, Florida",1.85,15
Orlando Silvestri,Valenciennes FC,Lille,1.77,29
Nabil Aslam,Hvidovre IF,Denmark,1.82,3
Robert Snodgrass,Scotland national under-20 football team,Glasgow,1.8288,10
Rafa Pérez,PFC CSKA Sofia,"Cartagena, Colombia",1.86,5
"Scott Brown (footballer, born 1994)",Clyde F.C.,Glasgow,1.778,20
Nolan Roux,AS Beauvais Oise,Compiègne,1.82,9
Nabil El Zhar,Nîmes Olympique,Alès,1.7,8
Roberto Nurse,CD Veracruz,Cuernavaca,1.8796,20
Richie Ryan (footballer),Scunthorpe United F.C.,Clonmel,1.78,20
Rudy Riou,Sporting Charleroi,Béziers,1.85,26
Nicolás Hernández,QNK Quảng Nam F.C.,Buenos Aires,1.778,TBA
"Naldo (footballer, born 1982)",SV Werder Bremen,Londrina,1.98,29
Pablo Vergara,Boca Unidos,Neuquén,1.74,TBA
Osnar Noronha,José Gálvez FBC,Iquitos,1.86,14
Milad Fakhreddini,Tractor Sazi F.C.,Kerman,1.68,34
"Scott Brown (footballer, born June 1985)",Hibernian F.C.,Dunfermline,1.75,8
Rodrigo Ríos Lozano,Sevilla Atlético,Soria,1.78,9
Rodéric Filippi,Tours FC,La Seyne-sur-Mer,1.83,14
Sean Rigg,Bristol Academy of Sport,Wotton-under-Edge,1.7526,27
Nenad Stojaković,FK Banat Zrenjanin,Zemun,1.81,10
Ricardo Goulart,Cruzeiro Esporte Clube,São José dos Campos,1.8,11
Oded Gavish,Maccabi Sha'arayim F.C.,Israel,1.89,58
Rémy Riou,FC Lorient,France,1.91,1
Roger Johnson (footballer),West Ham United F.C.,"Ashford, Surrey",1.905,6
"Naldo (footballer, born 1988)",Oeste Futebol Clube,"Santo André, São Paulo",1.88,3
Salim Tuama,Maccabi Sha'arayim F.C.,Lod,1.73,15
Rafa (footballer),Real Valladolid B,"Peñafiel, Spain",1.79,15
"Ryan Johnson (footballer, born 1996)",Northern Ireland national under-21 football team,Birmingham,1.88,27
Rowen Fernández,Bidvest Wits F.C.,"Springs, Gauteng",1.89,26
Yura Movsisyan,FC Krasnodar,Baku,1.85,14
Trayon Bobb,FK Kruoja Pakruojis,Uitvlugt,1.67,20
Thibault Bourgeois,France national under-19 football team,Maizières-lès-Metz,1.524,15
Yoann de Boer,Kozakken Boys,Marseille,1.85,8
Takuya Nagata,Japan national under-20 football team,"Saitama, Saitama",1.69,32
Timmy Simons,Club Brugge,Belgium,1.86,3
Thibault Giresse,Amiens SC,Talence,1.72,26
Walid Soliman (footballer),ENPPI Club,Egypt,1.7,11
Serhiy Voronin,FC Stal Kamianske,Ukrainian SSR,1.84,7
Valentin Babić,Győri ETO FC,Socialist Federative Republic of Yugoslavia,1.74,22
Thiago Alcântara,Spain national under-16 football team,San Pietro Vernotico,1.72,6
"Wang Fei (footballer, born 1989)",Shanghai Shenhua,Liaoning,1.8,57
Shōhei Ogura,Montedio Yamagata,"Chiba, Chiba",1.75,40
Wim De Decker,K.S.K. Beveren,Belgium,1.84,6
Sven Verdonck,RWDM Brussels FC,Belgium,1.85,—
Thiago Cionek,GD Bragança,Brazil,1.84,15
Thibault Marchal,USJA Carquefou,"Montmorency, Val-d'Oise",1.7,21
Wang Fei (female footballer),1. FFC Turbine Potsdam,Liaoning,1.79,1
Wendie Renard,France women's national football team,Schœlcher,1.87,3
Timm Klose,BSC Old Boys,Frankfurt,1.93,15
Yeşim Demirel,1. FFC 08 Niederkirchen,Germany,1.64,9
Sebastián Hernández,Deportes Quindío,Colombia,1.78,7
Zoltán Gera,Pécsi MFC,Hungary,1.83,20
Thiago Quirino,Ventforet Kofu,Brazil,1.83,17
Thiago Neves,Al Jazira Club,Brazil,1.8,19
Steven Whittaker,Hibernian F.C.,Edinburgh,1.85,2
Thiago Motta,Inter Milan,Brazil,1.87,8
Tuomas Peltonen,FC Honka,Finland,1.82,1
Wouter de Vogel,Telstar (football club),Netherlands,1.73,11
Wilko Risser,FV Engers,Namibia,1.92,52
Takuya Takei,Matsumoto Yamaga,Japan,1.79,7
Thomas Beck (footballer),FC Chiasso,Liechtenstein,1.74,9
Stefan Giglio,Malta national under-21 football team,Malta,1.8034,26
Sergiu Moga,Budapest Honvéd FC,Romania,1.85,4
Vladimir Azarov,FC Sibir Novosibirsk,Russia,1.73,19
Sofia Huerta,Chicago Red Stars,Idaho,0,11
Tom Williams (footballer),West Ham United F.C.,Carshalton,1.8288,33
Zac Lubin,Kitsap Pumas,"Bozeman, Montana",1.96,28
Volkan Demirel,Turkey national football team,Istanbul,1.91,1
Slobodan Rajković,Chelsea F.C.,Belgrade,1.91,5
Víctor Hugo Hernández,C.D. Guadalajara,"Zamora, Michoacán",1.83,23
Uroš Spajić,R.S.C. Anderlecht,Belgrade,1.88,5
Stjepan Babić (footballer),NK Rudar Velenje,Zagreb,1.8,12
Thibault Scotto,Amiens SC,Toulon,1.77,23
Simone Romagnoli,Carpi F.C. 1909,Cremona,1.93,21
Tana Chanabut,Port F.C.,Thailand,1.68,5
Tana Sripandorn,Air Force Central F.C.,Thailand,1.75,40
Vladlen Yurchenko,FC Shakhtar-3 Donetsk,Ukraine,1.81,35
Vincent Muratori,AS Monaco,"Orange, Vaucluse",1.78,26
Yevgeni Gogol,FC Krasnodar,Krasnodar,1.86,5
Valentin Stocker,SC Kriens,Lucerne,1.78,14
Tim Clancy,Hibernian F.C.,Ireland,1.83,21
"Tommy Smith (footballer, born 1990)",England national under-18 football team,Macclesfield,1.8796,5
Stanislav Kitto,FC Zorya Luhansk,Narva,1.86,15
Sebastian Larsson,Sunderland A.F.C.,Eskilstuna,1.78,7
Yaser Yıldız,Uşakspor,Adapazarı,1.82,11
Simon Richman,Worcester City F.C.,Ormskirk,1.8288,8
"Wang Fei (footballer, born 1993)",Henan Jianye,Henan,1.68,23
Vieirinha,FC Porto B,Guimarães,1.72,8
Tommy Spurr,Sheffield Wednesday F.C.,Leeds,1.8542,17
Thibault Moulin,Waasland-Beveren,"Flers, Orne",1.73,75
Álvaro Medrán,Valencia CF,Dos Torres,1.76,20
Yosri Derma Raju,UPB-MyTeam FC,Malaysia,1.78,15
Wissam Zaki,Duhok SC,Iraq,1.74,24
Álvaro Morata,Spain national under-17 football team,Madrid,1.89,21
Simone Pesce,Ascoli Calcio 1898,Latina,1.71,18
Tonći Kukoč,NK Hrvatski dragovoljac,"Split, Croatia",1.89,30
"Tommy Smith (footballer, born 1992)",Tranmere Rovers F.C.,Warrington,1.8542,2
Edvaldo Pereira,Chiangrai United F.C.,Brazil,1.9,-
Lassad Nouioui,Deportivo de La Coruña B,Marseille,1.89,27
Dai Lin,Liaoning FC,Liaoning,1.91,35
Álvaro Santos,RC Strasbourg,Brazil,1.81,10
Dimitris Giantsis,Iraklis Thessaloniki F.C.,"Griva, Kilkis",1.72,TBA
Dan Ito,Thép Miền Nam - Cảng Sài Gòn,Sapporo,1.73,18
David Barral,CF Fuenlabrada,"San Fernando, Cádiz",1.83,7
Andrei Sergeyevich Semyonov,FC Sokol Saratov,Russian SFSR,1.9,15
Christian Sivebæk,Vejle Boldklub,Vejle Municipality,1.91,TBA
Genaro Snijders,Almere City FC,Amsterdam,1.68,7
Alyaksandr Valadzko,FC BATE Borisov,Belarus,1.77,8
Jordan Angeli,Washington Spirit,United States,1.7526,6
Ali Krieger,Washington Spirit,United States,1.6764,11
Denis César de Matos,São Paulo FC,Jaú,1.88,1
Attila Császár,BKV Előre SC,Hungary,1.88,5
Melissa Tancredi,Piteå IF,"Hamilton, Ontario",1.77,9
Aksel Berget Skjølsvik,Åndalsnes IF,Norway,1.74,8
Anestis Agritis,Iraklis Thessaloniki F.C.,Greece,1.76,99
Lucian Filip,FC Gloria Buzău,Romania,1.84,8
"Beto (footballer, born 1982)",Sporting Clube de Portugal,Lisbon,1.8,34
"Dániel Kovács (footballer, born June 1990)",Gyirmót SE,Hungary,1.84,11
Clovis Kamdjo,Reading F.C.,Cameroon,1.8034,4
Alessandro Tuia,S.S. Lazio,Civita Castellana,1.9,16
Aleksandr Yerokhin,FC Krasnodar,Soviet Union,1.95,89
Aleksandre Guruli,FC Samtredia,Batumi,1.78,27
Alexander Jackson Møller,Hobro IK,Højbjerg,1.82,TBA
Davidson Eden,Hobro IK,Accra,1.89,27
Davide Astori,A.C. Ponte San Pietro Isola S.S.D.,San Giovanni Bianco,1.88,13
Alexander Juel Andersen,FK Viborg,Denmark,1.88,5
Dan Gogoșoiu,CSM Râmnicu Vâlcea,Romania,1.9,99
Cha Yun-hee,SC 07 Bad Neuenahr,South Korea,1.67,34
Alyaksandr Hutar,FC Orenburg,Minsk,1.9,30
David Odikadze,FC Samtredia,Georgia (country),1.84,49
Édson Uribe,Juan Aurich,Lima,1.71,14
Gulverd Tomashvili,FC Dila Gori,Georgia (country),1.86,33
Ucha Lobjanidze,FC Dinamo Batumi,Georgia (country),1.84,3
Amin Askar,SK Brann,Mogadishu,1.74,10
Alex McCarthy,Cambridge United F.C.,Guildford,1.9304,13
Chris Smalling,Fulham F.C.,Greenwich,1.93,12
Alex Morgan,California Storm,"San Dimas, California",1.7018,13
Michail Antonio,West Ham United F.C.,Wandsworth,1.8034,30
Aleix Vidal,CF Pobla de Mafumet,Valls,1.76,22
Aleksandar Dragović,FC Basel,Vienna,1.86,3
Eduardo Salvio,Argentina national under-17 football team,Avellaneda,1.73,18
Kyle Fraser-Allen,Tottenham Hotspur F.C.,Wanstead,1.8034,28
Andreas Lambertz,Fortuna Düsseldorf,West Germany,1.75,17
Ciaran Clark,Newcastle United F.C.,"Harrow, London",1.8796,2
Blažo Perutović,FK Sutjeska Nikšić,Cetinje,1.85,TBA
"Danny Rose (footballer, born 1990)",Sunderland A.F.C.,Doncaster,1.73,3
James Rodríguez,Colombia national football team,Cúcuta,1.8,10
Abu Ogogo,Arsenal F.C.,Epsom,1.7272,8
Ed Upson,Yeovil Town F.C.,Bury St Edmunds,1.78,6
Daniel Offredi,A.C. Reggiana 1919,Bergamo,1.9,22
Cristian Manuel Chávez,Club Atlético Atlas,Buenos Aires,1.68,9
Andros Townsend,Newcastle United F.C.,Leytonstone,1.81,10
Dorlan Pabón,Valencia CF,Medellín,1.68,8
Bojan Mišić,FK Mladost Lučani,Požarevac,1.89,22
Admir Mehmedi,AC Bellinzona,Gostivar,1.82,14
"Dušan Savić (footballer, born 1985)",FK Belasica,Niš,1.73,20
Daniel Kokosiński,Wisła Płock,Płońsk,1.88,24
Cristian Tănase,Tianjin Teda F.C.,Pitești,1.77,30
Armando Lozano,Atlético Malagueño,Motril,1.87,5
Oscar Jansson,Tottenham Hotspur F.C. Reserves and Academy,Örebro,1.86,1
Adam Hloušek,VfB Stuttgart,Turnov,1.84,14
Ariel Nahuelpán,Coritiba Foot Ball Club,Ciudad Evita,1.87,37
Álvaro Negredo,Valencia CF,Madrid,1.86,10
Álvaro Tejero,CU Collado Villalba,Madrid,1.72,3
Eial Strahman,Club Universidad de Guadalajara,Argentina,1.86,TBA
Aleksandre Amisulashvili,FC Krasnodar,Georgian SSR,1.87,5
Samuel Inkoom,Platanias F.C.,Sekondi-Takoradi,1.79,2
"Danny Green (footballer, born 1988)",Nottingham Forest F.C.,Harlow,1.83,11
Ayoze García,CD Tenerife B,Puerto de la Cruz,1.72,17
Björn Bergmann Sigurðarson,Iceland national under-19 football team,Akranes,1.86,10
Andre Gray,A.F.C. Telford United,Wolverhampton,1.778,7
Álvaro Saborío,D.C. United,"Quesada, Costa Rica",1.83,9
Ihor Voronkov,FC Torpedo Zhodino,Toretsk,1.83,21
Jun Sonoda,FC Machida Zelvia,"Shizuoka, Shizuoka",1.82,33
Igor Portnyagin,FC Neftekhimik Nizhnekamsk,Vladivostok,1.91,9
Ilya Gultyayev,FC Neftekhimik Nizhnekamsk,Russian SFSR,1.78,33
Etien Velikonja,Slovenia national under-19 football team,Šempeter pri Gorici,1.78,11
Genki Haraguchi,Japan national under-20 football team,"Kumagaya, Saitama",1.77,24
Glynor Plet,Telstar (football club),Amsterdam,1.94,9
Jesús Méndez,Deportivo Toluca Fútbol Club,"San Rafael, Mendoza",1.78,25
Kang Joon-woo,University of Incheon,Jejudo,1.88,25
Jucilei,FC Anzhi Makhachkala,Brazil,1.85,6
Flávio Beck Júnior,Inter Baku PIK,Brazil,1.79,87
Igor Diogo Moreira Araújo,Portugal national under-18 football team,"Felgueiras, Portugal",1.76,1
Isao Homma,Albirex Niigata,"Niigata, Niigata",1.72,30
Kirill Panchenko,PFC CSKA Moscow,Russian SFSR,1.85,8
Elliot Morris,West Bromwich Albion F.C.,Belfast,1.8,1
Koen Persoons,KV Mechelen,Belgium,1.79,8
Federico Peluso,S.S. Lazio,Italy,1.88,31
Géza Turi,Víkingur Gøta,Hungary,1.88,1
Géza Fazakas,BKV Előre SC,Hungary,1.74,TBA
Georgios Efrem,Cyprus national under-19 football team,Cyprus,1.71,7
Ioannis Kanotidis,Kalamata F.C.,Greece,1.72,13
Jonas Sela,MVV,Germany,1.89,1
Kevin Schöneberg,Viktoria Köln,Cologne,1.78,6
Kari Arkivuo,FC Kuusysi,Finland,1.77,15
Gábor Gyömbér,Lombard-Pápa TFC,Hungary,1.79,19
Juraj Kucka,Slovakia national under-21 football team,Czechoslovakia,1.86,33
Jefferson Hurtado,Argentinos Juniors,Ecuador,1.89,24
Giorgos Katsikas,Greece national under-19 football team,Greece,1.87,4
István Bagi,Kecskeméti TE,Hungary,1.85,8
Jarol Martínez,Atlético Nacional,Colombia,1.75,13
Eliaquim Mangala,Valencia CF,Paris,1.87,5
Jung Soo-jong,South Korea national under-20 football team,South Korea,1.84,20
Kevin Strootman,Netherlands national under-19 football team,Netherlands,1.87,6
Kirill Nababkin,Russia national under-21 football team,Moscow,1.84,14
Kohei Kudo,JEF United Ichihara Chiba,Japan,1.66,23
Koken Kato,Kataller Toyama,Japan,1.78,17
Kantemir Berkhamov,FC Lokomotiv Kaluga,Moscow,1.8,7
Fredrik Carlsen,Vålerenga Fotball,Norway,1.75,8
Kelvin Leerdam,Feyenoord,Suriname,1.79,5
Jorge Molina Cabrera,Ayacucho FC,Lima,1.7,28
Georgy Gabulov,FC Lokomotiv-2 Moscow,Soviet Union,1.9,22
Javier Malagueño,Iraklis Thessaloniki F.C.,"Cosquín, Córdoba",1.85,3
Jonathan Mensah,Evian Thonon Gaillard F.C.,Accra,1.88,25
Georgi Milanov (footballer),Bulgaria national under-21 football team,"Levski, Pleven Province",1.84,8
Erik Sviatchenko,Denmark national under-19 football team,Denmark,1.85,28
Heinz Lindner,Austria national football team,Linz,1.87,13
Juan Fuenmayor,Unión Atlético Maracaibo,Venezuela,1.76,13
Guido Koçer,Yeni Malatyaspor,"Worms, Germany",1.75,11
Karsten Fischer,Goslarer SC 08,West Germany,1.86,8
Fabian Hergesell,Viktoria Köln,West Germany,1.76,20
Eliran Atar,Bnei Yehuda Tel Aviv F.C.,Tel Aviv,1.79,16
Jimmy Mainfroi,Amiens SC,Saône-et-Loire,1.8,2
Kiatjarern Ruangparn,Port F.C.,Thailand,1.68,17
Frederic Löhe,Borussia Mönchengladbach,West Germany,1.93,-
Ivan Herceg (footballer),NK Inter Zaprešić,Zagreb,1.86,4
Héctor Rodas,Córdoba CF,Valencia,1.9,4
Fraser Forster,Newcastle United F.C.,Hexham,2.01,1
Jake Hyde,Lochee United F.C.,Maidenhead,1.8542,15
Igor Kojić,Doxa Katokopias F.C.,Mostar,1.92,12
Kevin Großkreutz,Borussia Dortmund,Dortmund,1.86,19
Jordan Cook,Carlisle United F.C.,Hetton-le-Hole,1.74,10
Gastón Díaz,Racing Club de Avellaneda,Buenos Aires,1.75,24
Gina Lewandowski,Northampton Laurels,"Bethlehem, Pennsylvania",1.524,2
Eliseu,S.S. Lazio,Angra do Heroísmo,1.8,19
Igor Tasković,FK Jezero,Niš,1.78,4
Juan Manuel Martínez,Cúcuta Deportivo,Río Negro Province,1.73,7
Jordan Henderson,Sunderland A.F.C.,"Sunderland, Tyne and Wear",1.88,14
Juan Cruz Gill,Estudiantes de Mérida,Villa María,1.8,6
Hamdan Al-Kamali,United Arab Emirates national under-20 football team,United Arab Emirates,1.83,8
Kazbek Geteriev,FC Zhemchuzhina-Sochi,Prokhladnensky District,1.72,33
Fernando Tobio,Club Atlético Vélez Sársfield,Argentina,1.85,2
Gohi Bi Zoro Cyriac,ASEC Mimosas,Daloa,1.72,9
Hiroshi Kiyotake,Japan national under-20 football team,Ōita Prefecture,1.72,14
Eyal Golasa,Beitar Nes Tubruk F.C.,Israel,1.74,23
James Frempong,Sweden national under-17 football team,Sweden,1.72,14
Javier Pastore,Paris Saint-Germain F.C.,"Córdoba, Argentina",1.87,10
Jan Oblak,S.C. Olhanense,Škofja Loka,1.89,13
Jonatan Tollås,Norway national under-17 football team,Ålesund,1.88,4
Giannis Maniatis,Greece national football team,Livadeia,1.78,2
Koki Yonekura,Japan national under-20 football team,"Chiba, Chiba",1.76,14
Kostas Foufoulas,Iraklis Thessaloniki F.C.,Greece,1.83,36
Lasha Totadze,FC Dila Gori,Abkhaz ASSR,1.88,3
Kosuke Kikuchi,Komazawa University,Japan,1.83,2
Kyle Walker,England national football team,Sheffield,1.78,2
Maksim Aleksandrovich Belyayev,FC Torpedo Vladimir,Russia,1.88,6
Luca Marrone,A.C. Siena,Italy,1.86,4
Lorenzo Del Prete,A.C. Siena,Rome,1.8,18
Maksim Vladimirovich Andreyev,FC Salyut Belgorod,Russia,1.8,10
Mahir Shukurov,Khazar Lankaran,Baku,1.78,22
Lukas Hradecky,Finland national under-19 football team,Czechoslovakia,1.9,1
Luigi Sepe,ACF Fiorentina,Italy,1.85,22
Lucian Cazan,CS Gaz Metan Mediaș,Romania,1.75,25
Lukas Van Eenoo,Oud-Heverlee Leuven,Belgium,1.75,12
Manuel Ortlechner,Austria national under-21 football team,Ried im Innkreis,1.86,14
Lucas Pratto,Defensores de Cambaceres,La Plata,1.87,9
Mads Albæk,Denmark national under-19 football team,Denmark,1.82,7
Mansour Assoumani,Stockport County F.C.,Nice,1.8796,6
Sabien Lilaj,Albania national under-20 football team,Albania,1.81,88
Taras Tsarikayev,FC Avtodor Vladikavkaz,Russian SFSR,1.85,4
Satoshi Kukino,FC Machida Zelvia,"Miyazaki, Miyazaki",1.73,38
Taras Burlak,FC Rubin-2 Kazan,Vladivostok,1.91,90
Patrick Funk,SV Wehen Wiesbaden II,Aalen,1.78,6
Petr Kaspřák,Tur Turek,Czechoslovakia,1.84,32
Robert Veselovsky,1. FC Slovácko,Czechoslovakia,1.88,33
