label,teamlabel,bpLabel,height,number
"Vladimír Weiss (footballer, born 1989)",Al-Gharafa Sports Club,Czechoslovakia,1.75,10
Plamen Kozhuharov,FC Yantra Gabrovo,Bulgaria,1.83,12
Plamen Petrov,PFC Rodopa Smolyan,Bulgaria,1.86,1
Plamen Dimitrov,PFC Burgas,Bulgaria,1.76,6
Plamen Dimov,Bulgaria national under-21 football team,Bulgaria,1.81,70
"Plamen Krumov (footballer, born 1985)",Bulgaria national under-21 football team,Bulgaria,1.8,71
Aleksandar Tsvetkov,Bulgaria national under-21 football team,Bulgaria,1.81,6
Akwasi Oduro,R. Cappellen F.C.,Cologne,1.8,—
Albert Meyong,Ravenna Calcio,Cameroon,1.84,19
Yuki Uekusa,V-Varen Nagasaki,Japan,1.86,43
Dever Orgill,Vancouver Whitecaps Residency,Jamaica,1.8288,5
Gergely Balázs,Diósgyőri VTK,Hungary,1.86,9
Ádám Bódi,Debreceni VSC,Hungary,1.82,27
Yuichi Shibakoya,Sagan Tosu,Japan,1.87,8
Arttu Seppälä,Finland national under-19 football team,Finland,1.8,21
Darron Gibson,Manchester United F.C.,Derry,1.83,4
Gergely Délczeg,Budapest Honvéd FC,Hungary,1.89,87
Charalampos Pavlidis,Aetos Skydra F.C.,Greece,1.82,8
Gergely Rusvay,Kecskeméti TE,Hungary,1.8,6
"Akihiro Sato (footballer, born August 1986)",Kashima Antlers,Japan,1.83,30
Álex Bergantiños,Deportivo de La Coruña B,Spain,1.77,4
Yevgeni Balyaikin,FC Sibiryak Bratsk,Russia,1.83,15
Innocent Emeghara,A.C. Siena,Nigeria,1.72,11
Wilfred Osuji,A.S. Varese 1910,Nigeria,1.65,8
Øyvind Gram,SK Træff,Norway,1.77,6
Mickaël Facchinetti,FC Lugano,Switzerland,1.83,7
Adrian Basta,Poland national under-21 football team,Poland,1.8,27
Vladimir Dyadyun,Russia national under-21 football team,Soviet Union,1.83,39
"Aleksandar Jovanović (footballer, born 1985)",Debreceni VSC,Sarajevo,1.75,77
Tomasz Porębski (footballer),GKS Tychy,Poland,1.95,TBA
Charles Negedu,Kaduna United F.C.,Nigeria,1.9,7
Daniel Cappelletti,A.C. Cantù G.S. San Paolo,Cantù,1.81,25
Thomas Kind Bendiksen,Harstad IL,Norway,1.83,27
Adam Armstrong (footballer),Newcastle United F.C.,Chapel House Estate,1.73,32
Abdul Razak (footballer),West Ham United F.C.,Ivory Coast,1.81,25
Vladimir Dvalishvili,FC Dinamo Batumi,Georgia (country),1.82,8
Christian Overby,Hobro IK,Denmark,1.79,24
Bojan Vučković (footballer),Franklin Pierce University,Belgrade,1.8034,24
Lamberto Gama,Timor-Leste national football team,Dili,1.7,19
Vladimir Niyonkuru,AS Inter Star,Bujumbura,1.77,22
Tim Krul,Newcastle United F.C.,The Hague,1.93,1
Ángel Montoro Sánchez,Valencia CF,Valencia,1.8,6
Alex Lee (soccer),FC Dallas,"Rockville, Maryland",1.778,18
Abdoul Aziz Kaboré,Valenciennes FC,Ouagadougou,1.82,6
Wiyao Sanda-Nabede,AC Merlan,Lomé,1.78,2
Adam Ševčík,FC Nitra,Olomouc,1.86,20
Xu Deshuai,China national under-19 football team,Dalian,1.79,7
Sören Pirson,Ergotelis F.C.,West Germany,1.94,21
Carl Magnay,Northern Ireland national under-21 football team,Gateshead,1.86,2
Xherdan Shaqiri,FC Basel,Gjilan,1.7,22
"Wang Yang (footballer, born 1989)",Cercle Brugge,Wuhan,1.91,20
Víctor Ruiz (Spanish footballer),Valencia CF,Esplugues de Llobregat,1.86,6
Nick Hegarty,Hume City FC,Wakefield,1.778,39
"Aleksandar Jovanović (footballer, born 1984)",FK Sindjelic Nis,Niš,1.79,24
Adrian Antunović,BFC Viktoria 1889,Jajce,1.79,19
İsmail Köybaşı,Turkey national under-21 football team,İskenderun,1.79,22
Mark Ridgers,East Fife F.C.,Inverness,1.85,50
"Aleksandar Jovanović (footballer, born 1992 in Niš)",FK Donji Srem,Niš,1.91,26
Nwankwo Obiora,Parma F.C.,Kaduna,1.86,4
Abdessalam Benjelloun,Hibernian F.C.,"Fez, Morocco",1.85,8
André Krul,AZ Alkmaar,Grootschermer,1.85,31
Yuya Osako,Japan national under-20 football team,"Kaseda, Kagoshima",1.82,13
Yeom Ki-hun,Korean Police FC,Haenam County,1.82,26
"Aleksandar Jovanović (footballer, born 1989)",Suwon FC,Melbourne,1.96,5
Agus (footballer),Albacete Balompié B,Bonete,1.88,4
Teemu Pukki,Finland national under-21 football team,Kotka,1.8,9
